Input_Text,Algorithm_Match_GPT,Reasoning,Embedding_Top_Matches,GPT_In_Threshold_Embedding
possibility,match,Represents a potential outcome or possibility.,"[[""recommendation"", 4.54], [""production"", 4.36], [""credibility"", 4.32], [""issue"", 4.26], [""importance"", 4.2], [""proximity"", 4.19], [""effort"", 4.18], [""confidence"", 4.12], [""activity"", 4.12], [""operation"", 4.12], [""similarity"", 4.11], [""gain"", 4.01], [""combination"", 4.0], [""conclusion"", 3.97], [""approach"", 3.93], [""chemistry"", 3.8], [""development"", 3.78], [""object"", 3.73], [""flight"", 3.72], [""place"", 3.69], [""project"", 3.68], [""article"", 3.64], [""example"", 3.63], [""plan"", 3.59], [""match"", 3.53], [""performance"", 3.53], [""wizard"", 3.53], [""energy"", 3.49], [""warning"", 3.47], [""artifact"", 3.45], [""fruit"", 3.45], [""entity"", 3.45], [""equipment"", 3.4], [""yen"", 3.35], [""loss"", 3.33], [""computation"", 3.32], [""recess"", 3.3], [""tournament"", 3.3], [""oracle"", 3.29], [""antecedent"", 3.27], [""information"", 3.26], [""recognition"", 3.24], [""noon"", 3.23], [""term"", 3.22], [""science"", 3.19], [""departure"", 3.18], [""peace"", 3.18], [""life"", 3.16], [""substance"", 3.16], [""car"", 3.15], [""cognition"", 3.14], [""marriage"", 3.11], [""culture"", 3.1], [""kind"", 3.09], [""association"", 3.05]]",True
practice,discipline,Closely related to a field of study.,"[[""performance"", 5.73], [""activity"", 5.71], [""operation"", 5.59], [""development"", 5.22], [""plan"", 5.17], [""production"", 5.03], [""issue"", 4.94], [""project"", 4.8], [""implement"", 4.7], [""place"", 4.65], [""live"", 4.63], [""industry"", 4.63], [""series"", 4.62], [""doctor"", 4.59], [""discipline"", 4.51], [""culture"", 4.48], [""artifact"", 4.4], [""tournament"", 4.37], [""example"", 4.22], [""match"", 4.22], [""life"", 4.22], [""chemistry"", 4.17], [""trading"", 4.14], [""equipment"", 4.03], [""science"", 3.98], [""collection"", 3.91], [""kind"", 3.89], [""approach"", 3.89], [""student"", 3.88], [""institution"", 3.88], [""serial"", 3.88], [""group"", 3.87], [""oracle"", 3.84]]",True
precedent,example,Serves as a previous instance or model.,"[[""antecedent"", 8.12]]",False
prejudice,racism,Directly related to prejudice.,"[[""racism"", 5.33], [""antecedent"", 4.39], [""cognition"", 3.82], [""culture"", 3.66]]",True
president,governor,Holds executive leadership similar to a president.,"[[""governor"", 5.84], [""secretary"", 5.58], [""professor"", 4.72]]",True
problem,issue,"Synonymous with problem, closely related concept.","[[""issue"", 6.78], [""example"", 4.96], [""project"", 4.72], [""operation"", 4.6], [""activity"", 4.6], [""object"", 4.58]]",True
production,industry,Relates closely to production and manufacturing processes.,"[[""production"", 10.0], [""performance"", 6.27], [""development"", 6.1], [""operation"", 5.56], [""project"", 5.07], [""industry"", 4.97], [""activity"", 4.94], [""equipment"", 4.93], [""issue"", 4.71], [""gain"", 4.71], [""fruit"", 4.56], [""collection"", 4.39], [""personnel"", 4.38], [""artifact"", 4.29], [""plan"", 4.29], [""implement"", 4.28], [""effort"", 4.27]]",True
professor,student,Associated with professor as mentor or educator.,"[[""professor"", 10.0], [""doctor"", 4.69], [""student"", 4.32], [""secretary"", 4.26], [""nurse"", 4.25], [""governor"", 4.06], [""rabbi"", 3.89], [""woman"", 3.87], [""slave"", 3.64], [""mother"", 3.57], [""magician"", 3.51], [""chemistry"", 3.4], [""personnel"", 3.4], [""cock"", 3.3], [""noon"", 3.23], [""queen"", 3.18], [""kind"", 3.16], [""lad"", 3.15]]",True
profit,gain,"Synonym of profit, representing financial increase.","[[""gain"", 6.16], [""loss"", 5.97], [""production"", 5.69], [""performance"", 5.48], [""fruit"", 4.79], [""operation"", 4.39], [""eat"", 4.31], [""payment"", 4.27], [""cash"", 4.23]]",True
psychology,psychiatry,Closely related field to psychology.,"[[""psychiatry"", 6.39], [""science"", 4.73], [""cognition"", 4.61]]",True
reason,cognition,Relates to reasoning and mental processes.,"[[""issue"", 4.84], [""example"", 4.18], [""object"", 4.11], [""credibility"", 4.1], [""recommendation"", 3.95], [""place"", 3.84], [""oracle"", 3.82], [""car"", 3.81], [""history"", 3.79], [""chemistry"", 3.73], [""energy"", 3.73], [""antecedent"", 3.71], [""confidence"", 3.68], [""warning"", 3.64], [""artifact"", 3.61], [""plan"", 3.6], [""year"", 3.59], [""science"", 3.56], [""conclusion"", 3.55], [""fruit"", 3.55], [""effort"", 3.55], [""mother"", 3.54], [""currency"", 3.43], [""motto"", 3.42], [""project"", 3.39], [""hill"", 3.36], [""production"", 3.35], [""lad"", 3.34], [""doctor"", 3.31], [""gain"", 3.28], [""implement"", 3.27], [""news"", 3.27], [""operation"", 3.26], [""nation"", 3.26], [""entity"", 3.25]]",False
report,news,Closely related to reporting and conveying information.,"[[""warning"", 4.64], [""issue"", 4.36], [""recommendation"", 4.2], [""information"", 4.16], [""project"", 4.12], [""news"", 4.09], [""radio"", 4.01], [""implement"", 3.97], [""serial"", 3.96], [""article"", 3.81], [""performance"", 3.76], [""collection"", 3.75], [""plan"", 3.69], [""activity"", 3.69], [""payment"", 3.68], [""history"", 3.63], [""block"", 3.62], [""operation"", 3.62], [""object"", 3.57], [""insurance"", 3.48], [""match"", 3.46], [""artifact"", 3.38], [""interview"", 3.38], [""group"", 3.28], [""index"", 3.27], [""oracle"", 3.26], [""production"", 3.26], [""departure"", 3.23], [""association"", 3.21], [""doctor"", 3.21], [""series"", 3.18], [""tournament"", 3.15], [""gain"", 3.12]]",True
rock,music,Closely related as a genre category.,"[[""music"", 4.83], [""rook"", 4.62], [""radio"", 4.56], [""metal"", 4.25], [""jazz"", 4.0], [""car"", 3.8], [""science"", 3.73], [""cock"", 3.64], [""rooster"", 3.61], [""star"", 3.51], [""issue"", 3.51], [""animal"", 3.5], [""artifact"", 3.49], [""shore"", 3.45], [""peace"", 3.44], [""girl"", 3.41], [""wine"", 3.4], [""forest"", 3.37], [""culture"", 3.35], [""cat"", 3.33], [""life"", 3.24]]",True
rooster,cock,similar term for a male chicken.,"[[""rooster"", 10.0], [""rook"", 5.38], [""cock"", 4.84], [""buck"", 4.34], [""lobster"", 3.96], [""animal"", 3.95], [""fruit"", 3.84], [""car"", 3.76], [""tiger"", 3.65], [""moon"", 3.65], [""oracle"", 3.64]]",True
school,institution,Represents an organized educational establishment.,"[[""student"", 6.5], [""place"", 4.96], [""hotel"", 4.91], [""institution"", 4.85], [""center"", 4.83], [""year"", 4.58], [""chemistry"", 4.51], [""car"", 4.46], [""culture"", 4.45], [""girl"", 4.44], [""series"", 4.43], [""life"", 4.36]]",True
seafood,lobster,A specific type of seafood.,"[[""lobster"", 5.28], [""food"", 5.03], [""fruit"", 4.23], [""eat"", 4.08], [""fauna"", 3.82], [""shore"", 3.79], [""string"", 3.77], [""animal"", 3.69], [""cabbage"", 3.67], [""carnivore"", 3.58], [""egg"", 3.57]]",True
seven,buck,Seven signifies seven dollars in slang terms.,"[[""series"", 4.48], [""serial"", 3.92], [""tournament"", 3.9], [""year"", 3.81], [""yen"", 3.73], [""queen"", 3.68], [""children"", 3.64], [""month"", 3.61], [""kind"", 3.6], [""wizard"", 3.58], [""doctor"", 3.57], [""woman"", 3.45], [""combination"", 3.33], [""article"", 3.32], [""phone"", 3.3], [""match"", 3.27], [""eye"", 3.21], [""confidence"", 3.2], [""sex"", 3.19], [""student"", 3.17], [""buck"", 3.15], [""car"", 3.15], [""example"", 3.13], [""dollar"", 3.08], [""cock"", 3.07], [""ear"", 3.06], [""collection"", 3.06], [""water"", 3.04], [""science"", 3.04], [""Jackson"", 3.04]]",True
shore,water,Shore is the land adjacent to bodies of water.,"[[""shore"", 10.0], [""surface"", 5.49], [""hill"", 4.69], [""landscape"", 4.5], [""forest"", 4.47], [""noon"", 3.88], [""departure"", 3.72]]",False
shower,water,Related to shower as both involve water.,"[[""thunderstorm"", 4.67], [""series"", 3.98], [""match"", 3.97], [""stove"", 3.87], [""hike"", 3.69], [""sprint"", 3.61], [""theater"", 3.59], [""girl"", 3.57], [""doctor"", 3.56], [""hotel"", 3.49], [""group"", 3.46], [""noon"", 3.41], [""phone"", 3.38], [""nurse"", 3.37], [""tournament"", 3.36], [""interview"", 3.35], [""radio"", 3.32], [""place"", 3.31], [""basketball"", 3.3], [""collection"", 3.28], [""departure"", 3.25], [""recess"", 3.23], [""sun"", 3.22], [""project"", 3.22], [""jewel"", 3.2], [""madhouse"", 3.2], [""sex"", 3.19], [""smile"", 3.18], [""marriage"", 3.16], [""medal"", 3.15]]",False
sign,match,Represents a symbol or corresponding element effectively.,"[[""term"", 4.9], [""match"", 4.55], [""gin"", 4.54], [""block"", 4.43], [""serial"", 4.43], [""string"", 4.4], [""star"", 4.4], [""gain"", 4.28], [""artifact"", 4.27], [""smile"", 4.24], [""car"", 4.19], [""cock"", 4.11], [""cash"", 4.08], [""eye"", 4.07], [""warning"", 4.04], [""issue"", 4.03], [""object"", 4.0], [""implement"", 3.98], [""yen"", 3.98], [""institution"", 3.98], [""association"", 3.95], [""payment"", 3.94], [""flight"", 3.93], [""sex"", 3.91], [""series"", 3.88], [""nation"", 3.84], [""entity"", 3.84], [""center"", 3.76], [""confidence"", 3.75], [""jewel"", 3.71], [""music"", 3.7], [""lad"", 3.69], [""wizard"", 3.65], [""insurance"", 3.65], [""kind"", 3.64], [""doctor"", 3.63], [""performance"", 3.63], [""year"", 3.61], [""article"", 3.59], [""oracle"", 3.59], [""group"", 3.59], [""example"", 3.58], [""combination"", 3.57], [""activity"", 3.53], [""ear"", 3.52], [""loss"", 3.5], [""departure"", 3.48], [""chemistry"", 3.47], [""Jackson"", 3.46], [""recognition"", 3.45], [""tournament"", 3.45], [""landscape"", 3.45], [""architecture"", 3.44], [""secretary"", 3.44], [""plan"", 3.42], [""news"", 3.42], [""place"", 3.41], [""phone"", 3.41], [""slave"", 3.39], [""motto"", 3.38], [""governor"", 3.37], [""CD"", 3.36], [""surface"", 3.34], [""queen"", 3.33], [""interview"", 3.33], [""jaguar"", 3.32], [""dollar"", 3.29]]",True
situation,issue,Represents current circumstances or situation.,"[[""issue"", 5.55], [""place"", 4.92], [""operation"", 4.65], [""activity"", 4.58], [""example"", 4.36], [""object"", 4.28], [""personnel"", 4.13], [""institution"", 4.06], [""culture"", 4.03], [""project"", 4.0], [""performance"", 3.93], [""approach"", 3.92], [""recommendation"", 3.9], [""term"", 3.88], [""match"", 3.86], [""entity"", 3.83], [""proximity"", 3.83], [""development"", 3.78], [""interview"", 3.76], [""substance"", 3.74], [""atmosphere"", 3.72]]",True
skin,surface,Represents outer layer similar to skin.,"[[""surface"", 5.46], [""sex"", 4.54], [""eye"", 4.47], [""fruit"", 3.96], [""life"", 3.85], [""ear"", 3.79], [""sun"", 3.79], [""gin"", 3.73], [""loss"", 3.72], [""slave"", 3.68], [""activity"", 3.68]]",True
smart,automobile,Smart is a car brand.,"[[""stupid"", 4.24], [""wizard"", 4.23], [""kind"", 4.08], [""science"", 3.97], [""car"", 3.81], [""phone"", 3.77], [""center"", 3.73], [""confidence"", 3.69], [""cash"", 3.66], [""cock"", 3.64], [""woman"", 3.64], [""news"", 3.62], [""star"", 3.61], [""equipment"", 3.48], [""eye"", 3.48], [""match"", 3.41], [""warning"", 3.39], [""doctor"", 3.34], [""block"", 3.34], [""smile"", 3.34], [""slave"", 3.33], [""chemistry"", 3.33], [""object"", 3.28], [""yen"", 3.26], [""children"", 3.25], [""lad"", 3.25], [""information"", 3.22], [""American"", 3.22], [""gain"", 3.2], [""metal"", 3.18], [""student"", 3.16], [""animal"", 3.16], [""fruit"", 3.15], [""CD"", 3.14], [""sprint"", 3.13], [""plan"", 3.11], [""activity"", 3.1], [""combination"", 3.09], [""buck"", 3.08], [""cat"", 3.06], [""implement"", 3.05], [""noon"", 3.05], [""jewel"", 3.01], [""cognition"", 3.01], [""magician"", 3.0], [""article"", 3.0], [""queen"", 2.98], [""ear"", 2.96], [""artifact"", 2.93], [""brother"", 2.89], [""music"", 2.89], [""water"", 2.88], [""tiger"", 2.87], [""series"", 2.86], [""sun"", 2.85], [""serial"", 2.85], [""energy"", 2.85]]",False
space,star,Object related to outer space.,"[[""center"", 5.66], [""place"", 5.51], [""object"", 5.35], [""chemistry"", 5.32], [""activity"", 5.32], [""string"", 5.28], [""term"", 5.22], [""match"", 5.15], [""yen"", 5.0], [""entity"", 4.98], [""landscape"", 4.85], [""group"", 4.79], [""plan"", 4.75], [""surface"", 4.63], [""hotel"", 4.61], [""series"", 4.59], [""culture"", 4.55], [""article"", 4.55], [""project"", 4.54], [""issue"", 4.49], [""forest"", 4.48], [""block"", 4.45], [""energy"", 4.42], [""equipment"", 4.38], [""shore"", 4.33], [""proximity"", 4.29], [""month"", 4.23], [""institution"", 4.22], [""fruit"", 4.21], [""sex"", 4.18], [""recess"", 4.16], [""noon"", 4.16], [""example"", 4.16], [""architecture"", 4.15], [""life"", 4.15], [""artifact"", 4.08], [""currency"", 4.08], [""flight"", 4.06], [""science"", 4.04], [""news"", 4.0], [""car"", 4.0], [""development"", 3.99], [""student"", 3.97], [""departure"", 3.96], [""oracle"", 3.95], [""cash"", 3.94], [""peace"", 3.94], [""nation"", 3.93], [""personnel"", 3.92], [""phone"", 3.91], [""substance"", 3.91], [""woman"", 3.89], [""airport"", 3.83]]",False
start,departure,Synonym for the beginning of a journey.,"[[""center"", 5.52], [""match"", 5.07], [""project"", 4.84], [""activity"", 4.83], [""live"", 4.8], [""development"", 4.7], [""series"", 4.56], [""departure"", 4.45], [""index"", 4.44], [""operation"", 4.41], [""noon"", 4.4], [""plan"", 4.36], [""oracle"", 4.35], [""term"", 4.17], [""car"", 4.04], [""star"", 4.03], [""gin"", 3.99], [""sprint"", 3.99], [""tournament"", 3.95], [""gain"", 3.92], [""approach"", 3.86], [""issue"", 3.86], [""place"", 3.86], [""implement"", 3.83], [""surface"", 3.81], [""airport"", 3.79], [""antecedent"", 3.77], [""block"", 3.77], [""object"", 3.77], [""chemistry"", 3.76], [""group"", 3.74], [""lad"", 3.74], [""eat"", 3.71]]",True
stock,trading,Involves buying and selling financial stocks.,"[[""collection"", 4.58], [""cash"", 4.46], [""serial"", 4.37], [""currency"", 4.34], [""production"", 4.34], [""artifact"", 4.28], [""loss"", 4.27], [""equipment"", 4.24], [""trading"", 4.24], [""star"", 4.2], [""buck"", 4.16], [""index"", 4.12], [""gain"", 3.9], [""performance"", 3.83], [""string"", 3.82], [""slave"", 3.81], [""match"", 3.75], [""group"", 3.74], [""forest"", 3.74], [""metal"", 3.73], [""issue"", 3.71], [""student"", 3.7], [""object"", 3.69], [""series"", 3.68], [""cock"", 3.66], [""sex"", 3.65], [""activity"", 3.56], [""food"", 3.54], [""industry"", 3.51], [""article"", 3.48], [""news"", 3.45], [""insurance"", 3.45], [""institution"", 3.42], [""confidence"", 3.4], [""block"", 3.39], [""tournament"", 3.39], [""oracle"", 3.37], [""tiger"", 3.32], [""medal"", 3.31], [""shore"", 3.3], [""music"", 3.28], [""car"", 3.25], [""fruit"", 3.25], [""yen"", 3.24], [""project"", 3.23], [""example"", 3.23], [""payment"", 3.23], [""jewel"", 3.22], [""personnel"", 3.21], [""wine"", 3.21], [""dollar"", 3.18], [""term"", 3.16], [""gin"", 3.15], [""egg"", 3.12], [""operation"", 3.11], [""lad"", 3.08], [""culture"", 3.08], [""information"", 3.07]]",True
street,avenue,Synonymous with street as a city road.,"[[""avenue"", 5.05], [""car"", 4.96], [""place"", 4.92], [""hill"", 4.78], [""hotel"", 4.72], [""center"", 4.31], [""surface"", 4.08], [""forest"", 4.08], [""graveyard"", 4.07], [""star"", 4.07], [""shore"", 3.97], [""yen"", 3.84], [""string"", 3.77], [""cash"", 3.77], [""lad"", 3.61], [""airport"", 3.6], [""phone"", 3.58], [""life"", 3.57], [""year"", 3.54], [""culture"", 3.54], [""doctor"", 3.53], [""girl"", 3.49], [""live"", 3.46], [""match"", 3.41], [""student"", 3.4], [""cock"", 3.39], [""news"", 3.39], [""stove"", 3.39]]",True
student,Yale,A prestigious university where many students study.,"[[""student"", 10.0], [""slave"", 5.06], [""woman"", 5.03], [""girl"", 5.02], [""children"", 4.71], [""institution"", 4.38], [""professor"", 4.32], [""kind"", 4.09], [""hotel"", 4.06], [""doctor"", 4.06], [""lad"", 3.9], [""animal"", 3.88], [""project"", 3.86], [""article"", 3.84], [""yen"", 3.75], [""payment"", 3.74], [""sex"", 3.73], [""nurse"", 3.72], [""departure"", 3.71], [""entity"", 3.7], [""mother"", 3.7], [""personnel"", 3.7], [""group"", 3.68], [""term"", 3.67], [""activity"", 3.66], [""object"", 3.66], [""flight"", 3.63], [""interview"", 3.61], [""year"", 3.6], [""nation"", 3.58], [""news"", 3.58], [""secretary"", 3.56], [""equipment"", 3.54], [""tournament"", 3.53], [""American"", 3.52], [""eat"", 3.5], [""development"", 3.5], [""industry"", 3.44], [""match"", 3.43], [""gain"", 3.43], [""star"", 3.4]]",False
sugar,cash,"""Sugar"" is often used as a slang term for money.","[[""butter"", 4.79], [""substance"", 4.37], [""fruit"", 3.95], [""potato"", 3.89], [""string"", 3.81], [""food"", 3.68], [""cabbage"", 3.52], [""cash"", 3.5], [""sprint"", 3.46], [""sex"", 3.44], [""gin"", 3.31], [""water"", 3.3], [""jewel"", 3.25], [""chemistry"", 3.24], [""kind"", 3.24], [""dollar"", 3.23]]",True
television,radio,Similar electronic device used for broadcasting media.,"[[""theater"", 4.86], [""radio"", 4.72], [""tennis"", 4.1], [""basketball"", 3.59], [""tournament"", 3.55], [""stove"", 3.51], [""automobile"", 3.44], [""music"", 3.41], [""interview"", 3.4], [""culture"", 3.34], [""car"", 3.31], [""phone"", 3.27], [""marriage"", 3.27], [""soccer"", 3.27]]",True
theater,performance,Central function of a theater.,"[[""theater"", 10.0], [""tournament"", 4.1], [""music"", 3.81], [""activity"", 3.71], [""place"", 3.69], [""hotel"", 3.69], [""center"", 3.58], [""architecture"", 3.48], [""tennis"", 3.44], [""institution"", 3.41], [""performance"", 3.4], [""life"", 3.38], [""car"", 3.37], [""culture"", 3.35], [""atmosphere"", 3.33], [""stove"", 3.33], [""jazz"", 3.29], [""operation"", 3.2], [""doctor"", 3.2], [""term"", 3.19], [""avenue"", 3.15], [""development"", 3.14], [""issue"", 3.14], [""chemistry"", 3.12], [""production"", 3.11], [""magician"", 3.11], [""entity"", 3.11], [""live"", 3.06], [""basketball"", 3.04], [""forest"", 3.04], [""ear"", 3.01], [""eat"", 3.01], [""series"", 2.99], [""equipment"", 2.97], [""graveyard"", 2.97], [""project"", 2.96], [""death"", 2.96], [""marriage"", 2.96], [""plan"", 2.95], [""object"", 2.93], [""nurse"", 2.93], [""landscape"", 2.93], [""tableware"", 2.91], [""match"", 2.91], [""industry"", 2.88], [""trading"", 2.86], [""student"", 2.86], [""madhouse"", 2.83], [""yen"", 2.81], [""personnel"", 2.8], [""group"", 2.77], [""organism"", 2.76]]",True
tiger,feline,Category encompassing tigers and various large cat species.,"[[""tiger"", 10.0], [""jaguar"", 5.73], [""animal"", 4.8], [""mammal"", 4.63], [""feline"", 4.6], [""buck"", 4.52], [""cat"", 4.5], [""carnivore"", 4.07], [""jewel"", 4.05], [""cock"", 4.0], [""lobster"", 4.0], [""tournament"", 3.86]]",True
train,car,Both are modes of transportation.,"[[""equipment"", 5.22], [""car"", 4.89], [""student"", 4.87], [""flight"", 4.76], [""airport"", 4.54], [""tournament"", 4.53], [""series"", 4.29], [""slave"", 4.28], [""match"", 4.28], [""plan"", 4.25], [""serial"", 4.12], [""operation"", 4.11], [""doctor"", 4.08], [""development"", 4.08], [""term"", 4.08], [""departure"", 3.96], [""oracle"", 3.94], [""lad"", 3.91], [""girl"", 3.89], [""place"", 3.88], [""institution"", 3.86], [""hotel"", 3.86], [""eat"", 3.86], [""discipline"", 3.84], [""project"", 3.83], [""production"", 3.81], [""animal"", 3.77], [""children"", 3.77], [""tiger"", 3.71], [""crane"", 3.69], [""phone"", 3.66], [""implement"", 3.65], [""hill"", 3.64], [""cat"", 3.62], [""personnel"", 3.6], [""sprint"", 3.59], [""kind"", 3.58], [""radio"", 3.58], [""gain"", 3.55], [""nurse"", 3.53], [""trading"", 3.52], [""forest"", 3.52], [""warning"", 3.51]]",True
travel,voyage,Synonym representing a long journey or trip.,"[[""flight"", 5.84], [""voyage"", 5.77], [""life"", 5.35], [""hotel"", 5.1], [""activity"", 5.07], [""place"", 4.99], [""car"", 4.83], [""airport"", 4.73], [""departure"", 4.72], [""culture"", 4.65], [""currency"", 4.59], [""news"", 4.54], [""eat"", 4.47], [""tournament"", 4.44], [""equipment"", 4.32], [""gain"", 4.32], [""trading"", 4.31], [""live"", 4.25], [""match"", 4.24], [""student"", 4.23], [""nation"", 4.16], [""yen"", 4.06], [""article"", 4.05], [""lad"", 4.03], [""term"", 3.99], [""fruit"", 3.98], [""development"", 3.97], [""cash"", 3.96], [""doctor"", 3.95], [""woman"", 3.95]]",True
type,kind,Synonym for category or classification.,"[[""entity"", 5.85], [""term"", 5.78], [""object"", 5.32], [""kind"", 5.19], [""series"", 5.14], [""artifact"", 4.96], [""example"", 4.91], [""match"", 4.88], [""issue"", 4.79], [""chemistry"", 4.77], [""string"", 4.72], [""group"", 4.72], [""activity"", 4.69], [""sex"", 4.43], [""serial"", 4.3], [""equipment"", 4.29], [""article"", 4.27], [""tournament"", 4.25], [""institution"", 4.23], [""culture"", 4.21], [""place"", 4.11], [""index"", 4.04], [""performance"", 4.03], [""development"", 4.03], [""animal"", 3.95]]",True
viewer,eye,Essential organ used for seeing.,"[[""landscape"", 4.79], [""object"", 4.74], [""eye"", 4.69], [""activity"", 4.39], [""student"", 4.36], [""live"", 4.3], [""woman"", 4.19], [""wizard"", 4.13], [""doctor"", 4.08], [""entity"", 4.04], [""serial"", 4.03], [""center"", 4.0], [""ear"", 3.98], [""gain"", 3.92], [""lad"", 3.92], [""project"", 3.9], [""oracle"", 3.89], [""warning"", 3.87], [""yen"", 3.85], [""gin"", 3.82], [""cock"", 3.81], [""interview"", 3.79], [""place"", 3.74], [""performance"", 3.72], [""development"", 3.71], [""animal"", 3.7], [""issue"", 3.7], [""cat"", 3.67], [""production"", 3.67], [""index"", 3.66], [""collection"", 3.63], [""plan"", 3.61], [""equipment"", 3.55], [""noon"", 3.55], [""block"", 3.55], [""phone"", 3.53], [""queen"", 3.53], [""radio"", 3.51], [""group"", 3.5], [""slave"", 3.49], [""water"", 3.49], [""surface"", 3.49], [""implement"", 3.46], [""eat"", 3.45], [""match"", 3.43], [""car"", 3.43], [""example"", 3.42], [""CD"", 3.39], [""wine"", 3.35], [""departure"", 3.34], [""nurse"", 3.33], [""architecture"", 3.32], [""news"", 3.31], [""star"", 3.3], [""hotel"", 3.3], [""kind"", 3.29], [""Jackson"", 3.27], [""term"", 3.26], [""fruit"", 3.25], [""girl"", 3.25], [""article"", 3.25], [""shore"", 3.25], [""operation"", 3.24], [""personnel"", 3.24], [""forest"", 3.24], [""jaguar"", 3.24], [""professor"", 3.23], [""artifact"", 3.23], [""year"", 3.22]]",True
vodka,**gin**,Similar alcoholic distilled spirit.,"[[""wine"", 4.3], [""water"", 3.48], [""brandy"", 3.44], [""potato"", 3.39], [""cucumber"", 3.29], [""gin"", 3.24], [""jazz"", 3.08], [""substance"", 3.08], [""fruit"", 3.07], [""butter"", 2.98], [""energy"", 2.92]]",False
volunteer,group,Represents a collection of individuals working together.,"[[""nurse"", 4.34], [""student"", 4.18], [""personnel"", 3.87], [""effort"", 3.87], [""slave"", 3.64], [""woman"", 3.59], [""voyage"", 3.51], [""association"", 3.46], [""operation"", 3.45], [""activity"", 3.44], [""interview"", 3.44], [""project"", 3.38], [""hike"", 3.37], [""flight"", 3.27], [""governor"", 3.25], [""gain"", 3.25], [""implement"", 3.18], [""kind"", 3.18], [""development"", 3.15], [""yen"", 3.1], [""smile"", 3.06], [""motto"", 3.04], [""professor"", 3.04], [""live"", 3.03], [""animal"", 3.02], [""doctor"", 3.01], [""performance"", 3.01], [""secretary"", 2.99], [""object"", 2.97], [""nation"", 2.95], [""gin"", 2.95], [""recommendation"", 2.93], [""issue"", 2.92], [""oracle"", 2.92], [""lad"", 2.92]]",False
wood,forest,A synonym referring to a large area of trees.,"[[""woodland"", 5.54], [""forest"", 5.24], [""metal"", 5.19], [""water"", 5.08], [""wine"", 4.66], [""food"", 4.28], [""energy"", 4.18], [""fruit"", 3.97], [""stove"", 3.91], [""music"", 3.82], [""rook"", 3.73]]",True
word,term,Synonym for 'word'.,"[[""term"", 4.7], [""artifact"", 4.29], [""music"", 4.15], [""object"", 4.11], [""article"", 4.07], [""water"", 4.01], [""wizard"", 4.0], [""news"", 3.96], [""motto"", 3.94], [""woman"", 3.93], [""warning"", 3.91], [""entity"", 3.87], [""wine"", 3.84], [""oracle"", 3.82], [""science"", 3.75], [""string"", 3.73], [""example"", 3.67], [""issue"", 3.58], [""animal"", 3.54], [""yen"", 3.52], [""energy"", 3.5], [""eye"", 3.49], [""ear"", 3.49], [""slave"", 3.46], [""phone"", 3.44], [""food"", 3.44], [""currency"", 3.42], [""plan"", 3.41], [""fruit"", 3.4], [""substance"", 3.38], [""death"", 3.38], [""block"", 3.38], [""operation"", 3.35], [""recommendation"", 3.35], [""month"", 3.33], [""implement"", 3.32], [""nation"", 3.3], [""chemistry"", 3.3], [""year"", 3.29], [""cognition"", 3.29], [""architecture"", 3.27], [""gin"", 3.25], [""student"", 3.24], [""gain"", 3.23], [""tournament"", 3.22], [""queen"", 3.2], [""combination"", 3.19], [""information"", 3.17], [""jewel"", 3.17], [""butter"", 3.17], [""life"", 3.17], [""lad"", 3.17], [""institution"", 3.16], [""eat"", 3.16], [""organism"", 3.15], [""project"", 3.15]]",True
